"Station" "Latitude" "Longitude" "T" "Sal" "O2" "SSD" "Phos" "Si" "NO3_woa" "Si." "N." "Iron_PISCES" "pos_woa" "aou_woa" "SI_NO3_woa" "SI_T_woa" "depth" "Month"
"1" 143 29.6394 -79.5395 24.812165 36.21913 191.6912 628 0.0065 1.256 0.63476831 0.62123169 0.53076831 1.205 98.8589249 2.60416937 0.02364383 0.37431938 5 1
"2" 144 36.4121 -72.9289 22.939295 36.39483 199.8544 619 0 1.14325 1.14337695 -0.00012695 1.14337695 0.876 99.6369858 0.95451665 0.11693516 0.76308358 2 1
"3" 145 39.2305 -70.0377 13.993715 35.12152 234.202 615 0.33275 2.41425 3.97980666 -1.56555666 -1.34419334 0.87 96.2224579 10.0788975 0.20170821 1 5 2
"4" 146 34.6712 -71.3093 19.312775 36.513137 225.165176 657 0.18492827 0.944 0.42561114 0.51838886 -2.53324118 0.818 101.080658 -2.3449724 0.04928359 0.60959409 5 2
"5" 147 33.061 -66.5435 20.150733 36.57475 213.8518 666 0.001 0.797 0.83173424 -0.03473424 0.81573424 0.667 100.152634 -0.4295173 0.03891029 0.63704619 5 2
"6" 148 31.6948 -64.2489 20.481195 36.596745 211.8222 680 0.0015 0.728 0.219477 0.508523 0.195477 0.568 100.618172 -1.3720717 0.02031946 0.6202825 5 2
"7" 149 34.0964 -49.8906 18.82554 36.41274 220.217 688 0.04676866 2.57794285 0.76655746 1.81138539 0.0182589 0.356 101.497475 -3.359189 0.04984928 0.62397508 5 3
"8" 150 35.9346 -37.3032 17.627142 36.285292 228.7737 695 0.0055 0.8358 0.25447303 0.58132697 0.16647303 0.199 103.336426 -7.875227 0.01725414 0.57402289 5 3
"9" 151 36.1375 -28.935 17.303005 36.229605 231.9696 704 0.0125 0.6545 0.65212995 0.00237005 0.45212995 0.147 104.366165 -7.9724255 0.0442477 0.53474503 5 3
"10" 152 43.6792 -16.8344 14.31916 35.99002 243.2576 724 0.1595 1.236 4.65578604 -3.41978604 2.10378604 0.149 101.530304 -3.9290504 0.27848663 0.49908563 2 3
"11" 155 54.5305 -16.9377 11.09547 35.32522 266.8153 993 0.401861 0.967928 5.13444328 -4.16651528 -1.29533272 0.368 104.999329 -8 0.53503966 0.32829569 5 5
"12" 158 67.1675 0.2177 8.47447 35.145165 316.6228 1440 0.356899 4.012069 4.47728062 -0.46521162 -1.23310338 0.305 109.124329 -8 0.52678576 0.42549249 5 6
"13" 163 76.102 2.0707 1.899612 34.888656 362.9876 1440 0.290483 4.18531 5.71242905 -1.52711905 1.06470105 0.692 109.95414 -7.740263 0.48533589 0.44962957 5 6
"14" 168 72.5491 44.0681 7.48766 34.92331 300.3598 1440 0 1.725127 0.32848147 1.39664553 0.32848147 0.591 107.437195 -7.830452 0.39519705 0.57535111 5 7
"15" 173 78.9564 79.4201 -0.160312 33.613775 390.2795 1440 0.056871 0.273079 0.05794413 0.21513487 -0.85199187 1.395 102.810898 -7.8419185 0.29842115 0.27271442 5 7
"16" 175 79.2026 66.4827 1.365705 34.264755 294.3883 1440 0.063634 0.523062 0.46165532 0.06140668 -0.55648868 1.063 106.396423 -8 0.33451618 0.23305722 5 7
"17" 178 77.1604 73.2057 1.325833 34.142392 352.7132 1440 0.047034 0.244154 0.63553196 -0.39137796 -0.11701204 1.467 102.830124 -7.2988186 0.38863205 0.3232153 5 7
"18" 180 74.8283 76.2096 2.507887 22.980169 368.1431 1440 0.238302 11.775524 3.24548125 8.53004275 -0.56735075 3.819 99.0779877 4.71470118 0.56328152 0.52291232 5 7
"19" 188 78.2518 91.8557 -1.649738 32.950844 394.7488 1440 0.216027 0.465648 0.09059595 0.37505205 -3.36583605 1.816 102.571762 -8 0.29526385 0.28159228 5 8
"20" 189 77.9028 117.1545 0.10149 28.82053 371.3273 1212 0.33274335 5.24766636 0.18202141 5.06564495 -5.14187219 1.958 98.1065903 5.92027092 0.0293973 0.17840082 5 8
"21" 191 71.5948 160.9381 1.48885 28.41685 340.3994 936 1.195806 19.646147 0.60849309 19.03765391 -18.52440291 2.976 99.3142319 5.76167297 0.02364862 0.2120045 5 9
"22" 193 71.0704 174.9917 2.4534 29.0291 339.3193 873 1.614977 30.149509 0.26737946 29.88212954 -25.57225254 1.963 98.9832077 3.45767117 0.649466 0.25242904 5 9
"23" 194 73.3833 -168.1333 -0.585333 27.442 303.3965 864 0.361653 1.424261 0.11974438 1.30451662 -5.66670362 1.433 102.795059 -7.8468819 0.36579039 0.23089467 5 9
"24" 196 71.8895 -154.9101 2.5694 28.60925 335.6818 822 0.430504 2.822912 0.15116969 2.67174231 -6.73689431 2.077 101.060417 -2.4169195 0.10608446 0.38345637 5 9
